,index,V5 Zip,V5 City,V5 State,county_name,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
0,0,601,Adjuntas,Puerto Rico,Adjuntas,Adjuntas,PR,18.180103,-66.74947,-4.0,0.0,"18.180103,-66.74947"
1,1,602,Aguada,Puerto Rico,Aguada,Aguada,PR,18.363285,-67.18024,-4.0,0.0,"18.363285,-67.18024"
2,2,603,Aguadilla,Puerto Rico,Aguadilla,Aguadilla,PR,18.448619,-67.13422,-4.0,0.0,"18.448619,-67.13422"
3,3,606,Maricao,Puerto Rico,Maricao,Maricao,PR,18.182151,-66.9588,-4.0,0.0,"18.182151,-66.9588"
4,4,610,Anasco,Puerto Rico,Añasco,Anasco,PR,18.288319,-67.13604,-4.0,0.0,"18.288319,-67.13604"
5,5,612,Arecibo,Puerto Rico,Arecibo,Arecibo,PR,18.449732,-66.69879,-4.0,0.0,"18.449732,-66.69879"
6,6,616,Bajadero,Puerto Rico,Arecibo,Bajadero,PR,18.426748,-66.67669,-4.0,0.0,"18.426748,-66.67669"
7,7,617,Barceloneta,Puerto Rico,Barceloneta,Barceloneta,PR,18.455499,-66.55575,-4.0,0.0,"18.455499,-66.55575"
8,8,622,Boqueron,Puerto Rico,Cabo Rojo,Boqueron,PR,18.003125,-67.16745,-4.0,0.0,"18.003125,-67.16745"
9,9,623,Cabo Rojo,Puerto Rico,Cabo Rojo,Cabo Rojo,PR,18.08643,-67.15222,-4.0,0.0,"18.08643,-67.15222"
10,10,624,Penuelas,Puerto Rico,Peñuelas,Penuelas,PR,18.055399,-66.72602,-4.0,0.0,"18.055399,-66.72602"
11,11,627,Camuy,Puerto Rico,Camuy,Camuy,PR,18.435246,-66.85644,-4.0,0.0,"18.435246,-66.85644"
12,12,631,Castaner,Puerto Rico,Lares,Castaner,PR,18.186739,-66.85174,-4.0,0.0,"18.186739,-66.85174"
13,13,637,Sabana Grande,Puerto Rico,Sabana Grande,Sabana Grande,PR,18.073078,-66.94864,-4.0,0.0,"18.073078,-66.94864"
14,14,638,Ciales,Puerto Rico,Ciales,Ciales,PR,18.308139,-66.49835,-4.0,0.0,"18.308139,-66.49835"
15,15,641,Utuado,Puerto Rico,Utuado,Utuado,PR,18.268896,-66.70519,-4.0,0.0,"18.268896,-66.70519"
16,16,646,Dorado,Puerto Rico,Dorado,Dorado,PR,18.442798,-66.27689,-4.0,0.0,"18.442798,-66.27689"
17,17,647,Ensenada,Puerto Rico,Guánica,Ensenada,PR,17.964529,-66.93993,-4.0,0.0,"17.964529,-66.93993"
18,18,650,Florida,Puerto Rico,Florida,Florida,PR,18.363331,-66.56773,-4.0,0.0,"18.363331,-66.56773"
19,19,652,Garrochales,Puerto Rico,Arecibo,Garrochales,PR,18.457453,-66.61217,-4.0,0.0,"18.457453,-66.61217"
20,20,653,Guanica,Puerto Rico,Guánica,Guanica,PR,17.992112,-66.90097,-4.0,0.0,"17.992112,-66.90097"
21,21,656,Guayanilla,Puerto Rico,Guayanilla,Guayanilla,PR,18.038866,-66.79168,-4.0,0.0,"18.038866,-66.79168"
22,22,659,Hatillo,Puerto Rico,Hatillo,Hatillo,PR,18.432956,-66.80039,-4.0,0.0,"18.432956,-66.80039"
23,23,660,Hormigueros,Puerto Rico,Hormigueros,Hormigueros,PR,18.139108,-67.12085,-4.0,0.0,"18.139108,-67.12085"
24,24,662,Isabela,Puerto Rico,Isabela,Isabela,PR,18.478855,-67.01973,-4.0,0.0,"18.478855,-67.01973"
25,25,664,Jayuya,Puerto Rico,Jayuya,Jayuya,PR,18.212565,-66.59243,-4.0,0.0,"18.212565,-66.59243"
26,26,667,Lajas,Puerto Rico,Lajas,Lajas,PR,18.017819,-67.04226,-4.0,0.0,"18.017819,-67.04226"
27,27,669,Lares,Puerto Rico,Lares,Lares,PR,18.288418,-66.87503,-4.0,0.0,"18.288418,-66.87503"
28,28,670,Las Marias,Puerto Rico,Las Marías,Las Marias,PR,18.241343,-66.97604,-4.0,0.0,"18.241343,-66.97604"
29,29,674,Manati,Puerto Rico,Manatí,Manati,PR,18.426137,-66.48697,-4.0,0.0,"18.426137,-66.48697"
