zipcode,county,median_family_income,one_member,two_members,three_members,four_members,five_members,six_members,seven_members,eight_members
99203,Spokane,78500,43350,49550,55750,61900,66900,71580,76800,81750
99223,Spokane,78500,43350,49550,55750,61900,66900,71580,76800,81750
99026,Spokane,78500,43350,49550,55750,61900,66900,71580,76800,81750
99204,Spokane,78500,43350,49550,55750,61900,66900,71580,76800,81750
99207,Spokane,78500,43350,49550,55750,61900,66900,71580,76800,81750
99201,Spokane,78500,43350,49550,55750,61900,66900,71580,76800,81750
99016,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99027,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99037,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99206,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99212,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99214,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99215,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
99216,Spokane Valley,60700,37700,43100,48500,53850,58200,62500,66800,71100
