zipcode,state_name,county_name,city_name,median_household_income,average_household_income,per_capita_income,percent_incomes_200000+
83824,Idaho; Washington,Benewah; Whitman,De Smet,"$41,250","$51,611","$17,212",0.00%
83851,Idaho; Washington,Benewah; Whitman,Plummer,"$43,750","$51,087","$18,923",0.30%
83870,Idaho; Washington,Benewah; Whitman,Tensed,"$32,917","$47,039","$19,527",0.00%
97031,Oregon; Washington,Hood River; Skamania,Hood River; Odell,"$66,970","$92,612","$36,942",8.30%
98001,Washington,King,Algona; Auburn; Federal Way; Lakeland North; Lakeland South; Milton; Pacific,"$90,287","$102,055","$34,806",7.30%
98002,Washington,King,Auburn; Kent; Pacific,"$57,317","$68,474","$28,278",2.90%
98003,Washington,King,Des Moines; Federal Way; Lakeland South; Milton,"$59,391","$75,321","$29,097",4.00%
98004,Washington,King,Beaux Arts Village; Bellevue; Clyde Hill; Hunts Point; Yarrow Point,"$134,580","$197,786","$93,912",32.70%
98005,Washington,King,Bellevue,"$120,913","$157,377","$66,330",24.20%
98006,Washington,King,Bellevue; Issaquah; Newcastle,"$144,247","$186,548","$66,435",32.60%
98007,Washington,King,Bellevue; Redmond,"$96,545","$120,294","$49,529",16.30%
98008,Washington,King,Bellevue; Issaquah; Sammamish,"$117,775","$157,380","$57,983",26.60%
98010,Washington,King,Black Diamond; Lake Morton-Berrydale; Maple Valley,"$123,415","$135,964","$52,485",19.70%
98011,Washington,King,Bothell; Kenmore; Kirkland; Woodinville,"$98,268","$116,059","$46,282",14.60%
98012,Washington,Snohomish,Bothell; Bothell East; Bothell West; Clearview; Martha Lake; Mill Creek; Mill Creek East; Silver Firs,"$109,161","$127,003","$46,332",14.70%
98014,Washington,King,Ames Lake; Carnation; Lake Marcel-Stillwater,"$112,384","$145,424","$57,197",23.30%
98019,Washington,King,Cottage Lake; Duvall; Union Hill-Novelty Hill,"$139,831","$160,507","$55,588",27.40%
98020,Washington,Snohomish,Edmonds; Esperance; Woodway,"$95,141","$129,463","$57,868",19.10%
98021,Washington,King; Snohomish,Bothell; Bothell East; Bothell West; Brier; Kenmore; Maltby,"$123,479","$143,780","$50,219",22.30%
98022,Washington,King; Pierce; Yakima,Black Diamond; Buckley; Enumclaw; Greenwater,"$76,929","$98,253","$39,977",9.80%
98023,Washington,King,Des Moines; Federal Way,"$79,434","$94,130","$34,126",6.60%
98024,Washington,King,Fall City; Sammamish; Snoqualmie,"$141,475","$154,759","$53,615",24.50%
98026,Washington,Snohomish,Edmonds; Esperance; Lynnwood; Meadowdale; Mukilteo; North Lynnwood; Picnic Point,"$94,385","$122,325","$48,706",14.10%
98027,Washington,King,Bellevue; East Renton Highlands; Hobart; Issaquah; Mirrormont; Sammamish,"$113,047","$141,468","$55,418",21.00%
98028,Washington,King,Bothell; Bothell West; Kenmore,"$110,058","$135,105","$53,255",19.10%
98029,Washington,King,Issaquah; Sammamish,"$129,185","$155,934","$60,666",28.40%
98030,Washington,King,Auburn; Kent,"$64,666","$81,539","$27,394",6.10%
98031,Washington,King,Kent,"$83,324","$97,465","$32,681",6.60%
98032,Washington,King,Des Moines; Kent; Lakeland North; SeaTac; Tukwila,"$63,562","$81,706","$30,141",5.40%
98033,Washington,King,Bellevue; Kirkland; Redmond; Yarrow Point,"$133,744","$183,213","$76,475",29.40%
98034,Washington,King,Bothell; Kenmore; Kirkland; Redmond,"$101,674","$128,063","$52,779",16.20%
98036,Washington,Snohomish,Alderwood Manor; Bothell West; Brier; Lynnwood; Martha Lake; Mountlake Terrace; North Lynnwood,"$84,787","$104,424","$39,301",9.60%
98037,Washington,Snohomish,Larch Way; Lynnwood; Martha Lake; Meadowdale; North Lynnwood,"$76,630","$88,541","$33,484",5.10%
98038,Washington,King,Covington; East Renton Highlands; Hobart; Kent; Lake Morton-Berrydale; Maple Valley; Mirrormont; Ravensdale; Shadow Lake,"$111,689","$128,993","$44,131",14.30%
98039,Washington,King,Bellevue; Hunts Point; Kirkland; Medina,"$212,337","$323,190","$117,928",52.20%
98040,Washington,King,Mercer Island,"$147,566","$224,619","$90,130",39.30%
98042,Washington,King,Auburn; Covington; Kent; Lake Morton-Berrydale; Maple Valley; Shadow Lake,"$104,306","$127,621","$44,519",15.30%
98043,Washington,King; Snohomish,Edmonds; Lynnwood; Mountlake Terrace; Shoreline,"$72,955","$87,769","$36,175",5.30%
98045,Washington,King,North Bend; Riverbend; Snoqualmie; Snoqualmie Pass; Tanner; Wilderness Rim,"$112,568","$141,702","$53,181",18.40%
98047,Washington,King; Pierce,Algona; Auburn; Pacific,"$59,464","$70,743","$23,626",2.50%
98050,Washington,King,,"$139,161","$212,132","$77,393",13.50%
98051,Washington,King,Hobart; Kent; Ravensdale,"$87,500","$101,777","$37,643",9.20%
98052,Washington,King,Bellevue; Cottage Lake; Kirkland; Redmond; Sammamish; Union Hill-Novelty Hill; Woodinville,"$135,287","$161,369","$64,993",26.90%
98053,Washington,King,Ames Lake; Redmond; Union Hill-Novelty Hill,"$145,453","$194,206","$72,453",35.70%
98055,Washington,King,Kent; Renton,"$76,765","$92,801","$37,588",6.30%
98056,Washington,King,Newcastle; Renton,"$85,451","$117,962","$47,145",13.70%
98057,Washington,King,Bryn Mawr-Skyway; Renton; Tukwila,"$57,172","$76,540","$37,017",5.20%
98058,Washington,King,East Renton Highlands; Fairwood; Kent; Maple Heights-Lake Desire; Renton; Shadow Lake,"$92,225","$107,395","$39,575",10.20%
98059,Washington,King,Bellevue; East Renton Highlands; Newcastle; Renton,"$105,872","$137,426","$49,190",20.10%
98065,Washington,King,Snoqualmie,"$144,320","$167,082","$54,728",27.50%
98068,Washington,King; Kittitas,Roslyn; Snoqualmie Pass; Tanner,"$97,625","$104,741","$50,683",8.20%
98070,Washington,King,Vashon,"$78,966","$115,678","$53,131",13.50%
98072,Washington,King; Snohomish,Bothell; Clearview; Cottage Lake; Kirkland; Maltby; Woodinville,"$117,704","$155,866","$60,690",24.00%
98074,Washington,King,Sammamish,"$188,900","$221,854","$73,208",46.90%
98075,Washington,King,Issaquah; Sammamish,"$178,697","$214,861","$70,782",43.20%
98077,Washington,King; Snohomish,Cottage Lake; Maltby; Union Hill-Novelty Hill,"$166,400","$221,823","$75,894",42.10%
98087,Washington,Snohomish,Lake Stickney; Larch Way; Lynnwood; Martha Lake; North Lynnwood; Picnic Point,"$76,863","$91,891","$33,699",6.10%
98092,Washington,King; Pierce,Auburn; Black Diamond; Kent; Lake Holm; Lake Morton-Berrydale; Lake Tapps,"$92,376","$111,396","$38,942",11.70%
98101,Washington,King,Seattle,"$80,389","$116,277","$79,796",16.10%
98102,Washington,King,Seattle,"$91,466","$126,345","$76,661",14.80%
98103,Washington,King,Seattle,"$105,177","$133,001","$63,719",20.20%
98104,Washington,King,Seattle,"$53,407","$89,598","$53,390",10.10%
98105,Washington,King,Seattle,"$62,582","$118,967","$42,401",17.50%
98106,Washington,King,Seattle; White Center,"$69,110","$87,301","$37,806",7.50%
98107,Washington,King,Seattle,"$100,178","$132,464","$69,351",18.00%
98108,Washington,King,Boulevard Park; Seattle; Tukwila; White Center,"$61,547","$90,304","$33,269",6.90%
98109,Washington,King,Seattle,"$106,393","$137,926","$79,951",17.00%
98110,Washington,Kitsap,Bainbridge Island,"$117,990","$144,868","$60,533",23.10%
98112,Washington,King,Seattle,"$118,305","$207,496","$95,857",30.60%
98115,Washington,King,Kirkland; Seattle,"$111,569","$147,430","$63,327",24.50%
98116,Washington,King,Seattle,"$121,208","$146,749","$70,526",22.40%
98117,Washington,King,Seattle,"$116,871","$153,544","$65,347",24.20%
98118,Washington,King,Seattle,"$82,216","$106,475","$38,751",11.50%
98119,Washington,King,Seattle,"$96,768","$143,190","$70,915",21.30%
98121,Washington,King,Seattle,"$115,323","$140,491","$93,864",23.40%
98122,Washington,King,Seattle,"$79,609","$118,252","$60,400",17.30%
98125,Washington,King,Seattle,"$70,744","$95,556","$43,606",10.20%
98126,Washington,King,Seattle; White Center,"$86,983","$111,333","$49,644",14.90%
98133,Washington,King,Seattle; Shoreline,"$68,994","$89,379","$41,067",8.10%
98134,Washington,King,Seattle,"$83,472","$105,632","$36,111",11.80%
98136,Washington,King,Seattle,"$113,750","$143,156","$64,679",23.10%
98144,Washington,King,Seattle,"$78,414","$120,821","$53,282",16.20%
