zipcode,city_name,monthly_mean_income
98039,Bellevue; Hunts Point; Kirkland; Medina,26933
98040,Mercer Island,18718
98074,Sammamish,18488
98077,Cottage Lake; Maltby; Union Hill-Novelty Hill,18485
98164,Seattle,18302
98075,Issaquah; Sammamish,17905
98050,,17678
98112,Seattle,17291
98004,Beaux Arts Village; Bellevue; Clyde Hill; Hunts Point; Yarrow Point,16482
98053,Ames Lake; Redmond; Union Hill-Novelty Hill,16184
98006,Bellevue; Issaquah; Newcastle,15546
98033,Bellevue; Kirkland; Redmond; Yarrow Point,15268
99023,,14208
98065,Snoqualmie,13924
98199,Seattle,13733
98052,Bellevue; Cottage Lake; Kirkland; Redmond; Sammamish; Union Hill-Novelty Hill; Woodinville,13447
98019,Cottage Lake; Duvall; Union Hill-Novelty Hill,13376
98177,Seattle; Shoreline,13345
98008,Bellevue; Issaquah; Sammamish,13115
98005,Bellevue,13115
98029,Issaquah; Sammamish,12995
98072,Bothell; Clearview; Cottage Lake; Kirkland; Maltby; Woodinville,12989
98024,Fall City; Sammamish; Snoqualmie,12897
98117,Seattle,12795
98286,,12773
98296,Cathcart; Clearview; Eastmont; High Bridge; Maltby; Mill Creek East; Silver Firs,12368
98115,Kirkland; Seattle,12286
98116,Seattle,12229
98014,Ames Lake; Carnation; Lake Marcel-Stillwater,12119
98110,Bainbridge Island,12072
98021,Bothell; Bothell East; Bothell West; Brier; Kenmore; Maltby,11982
98119,Seattle,11933
98136,Seattle,11930
98045,North Bend; Riverbend; Snoqualmie; Snoqualmie Pass; Tanner; Wilderness Rim,11809
98222,,11798
98027,Bellevue; East Renton Highlands; Hobart; Issaquah; Mirrormont; Sammamish,11789
98121,Seattle,11708
98332,Canterwood; Gig Harbor; Maplewood; Purdy; Rosedale,11700
98333,Fox Island,11619
98109,Seattle,11494
98059,Bellevue; East Renton Highlands; Newcastle; Renton,11452
99338,Kennewick; Richland,11396
98010,Black Diamond; Lake Morton-Berrydale; Maple Valley,11330
98275,Everett; Mukilteo; Picnic Point,11327
98028,Bothell; Bothell West; Kenmore,11259
98607,Camas; Fern Prairie; Vancouver; Washougal,11155
98103,Seattle,11083
98107,Seattle,11039
98020,Edmonds; Esperance; Woodway,10789
98038,Covington; East Renton Highlands; Hobart; Kent; Lake Morton-Berrydale; Maple Valley; Mirrormont; Ravensdale; Shadow Lake,10749
99036,,10730
98034,Bothell; Kenmore; Kirkland; Redmond,10672
98042,Auburn; Covington; Kent; Lake Morton-Berrydale; Maple Valley; Shadow Lake,10635
98606,Battle Ground; Brush Prairie; Hockinson; Venersborg,10633
98012,Bothell; Bothell East; Bothell West; Clearview; Martha Lake; Mill Creek; Mill Creek East; Silver Firs,10584
98335,Artondale; Gig Harbor; Raft Island; Rosedale; Wollochet,10537
98102,Seattle,10529
98391,Alderton; Auburn; Bonney Lake; Lake Tapps; Orting; Prairie Heights; Prairie Ridge; Sumner,10412
98642,Dollars Corner; Duluth; La Center; Mount Vista; Ridgefield,10201
98026,Edmonds; Esperance; Lynnwood; Meadowdale; Mukilteo; North Lynnwood; Picnic Point,10194
98685,Felida; Lake Shore; Salmon Creek,10153
98394,Key Center; Vaughn,10145
98144,Seattle,10068
98007,Bellevue; Redmond,10025
98105,Seattle,9914
