zipcode,city_name,average_monthly_household_income
98039,Bellevue; Hunts Point; Kirkland; Medina,26932.5
98040,Mercer Island,18718.25
98074,Sammamish,18487.83
98077,Cottage Lake; Maltby; Union Hill-Novelty Hill,18485.25
98164,Seattle,18302.25
98075,Issaquah; Sammamish,17905.08
98050,,17677.67
98112,Seattle,17291.33
98004,Beaux Arts Village; Bellevue; Clyde Hill; Hunts Point; Yarrow Point,16482.17
98053,Ames Lake; Redmond; Union Hill-Novelty Hill,16183.83
98006,Bellevue; Issaquah; Newcastle,15545.67
98033,Bellevue; Kirkland; Redmond; Yarrow Point,15267.75
99023,,14207.75
98065,Snoqualmie,13923.5
98199,Seattle,13732.75
98052,Bellevue; Cottage Lake; Kirkland; Redmond; Sammamish; Union Hill-Novelty Hill; Woodinville,13447.42
98019,Cottage Lake; Duvall; Union Hill-Novelty Hill,13375.58
98177,Seattle; Shoreline,13345.17
98008,Bellevue; Issaquah; Sammamish,13115.0
98005,Bellevue,13114.75
98029,Issaquah; Sammamish,12994.5
98072,Bothell; Clearview; Cottage Lake; Kirkland; Maltby; Woodinville,12988.83
98024,Fall City; Sammamish; Snoqualmie,12896.58
98117,Seattle,12795.33
98286,,12772.58
98296,Cathcart; Clearview; Eastmont; High Bridge; Maltby; Mill Creek East; Silver Firs,12367.83
98115,Kirkland; Seattle,12285.83
98116,Seattle,12229.08
98014,Ames Lake; Carnation; Lake Marcel-Stillwater,12118.67
98110,Bainbridge Island,12072.33
98021,Bothell; Bothell East; Bothell West; Brier; Kenmore; Maltby,11981.67
98119,Seattle,11932.5
98136,Seattle,11929.67
98045,North Bend; Riverbend; Snoqualmie; Snoqualmie Pass; Tanner; Wilderness Rim,11808.5
98222,,11798.25
98027,Bellevue; East Renton Highlands; Hobart; Issaquah; Mirrormont; Sammamish,11789.0
98121,Seattle,11707.58
98332,Canterwood; Gig Harbor; Maplewood; Purdy; Rosedale,11699.58
98333,Fox Island,11618.75
98109,Seattle,11493.83
98059,Bellevue; East Renton Highlands; Newcastle; Renton,11452.17
99338,Kennewick; Richland,11395.75
98010,Black Diamond; Lake Morton-Berrydale; Maple Valley,11330.33
98275,Everett; Mukilteo; Picnic Point,11326.67
98028,Bothell; Bothell West; Kenmore,11258.75
98607,Camas; Fern Prairie; Vancouver; Washougal,11154.83
98103,Seattle,11083.42
98107,Seattle,11038.67
98020,Edmonds; Esperance; Woodway,10788.58
98038,Covington; East Renton Highlands; Hobart; Kent; Lake Morton-Berrydale; Maple Valley; Mirrormont; Ravensdale; Shadow Lake,10749.42
99036,,10729.92
98034,Bothell; Kenmore; Kirkland; Redmond,10671.92
98042,Auburn; Covington; Kent; Lake Morton-Berrydale; Maple Valley; Shadow Lake,10635.08
98606,Battle Ground; Brush Prairie; Hockinson; Venersborg,10633.33
98012,Bothell; Bothell East; Bothell West; Clearview; Martha Lake; Mill Creek; Mill Creek East; Silver Firs,10583.58
98335,Artondale; Gig Harbor; Raft Island; Rosedale; Wollochet,10537.25
98102,Seattle,10528.75
98391,Alderton; Auburn; Bonney Lake; Lake Tapps; Orting; Prairie Heights; Prairie Ridge; Sumner,10411.75
98642,Dollars Corner; Duluth; La Center; Mount Vista; Ridgefield,10200.83
98026,Edmonds; Esperance; Lynnwood; Meadowdale; Mukilteo; North Lynnwood; Picnic Point,10193.75
98685,Felida; Lake Shore; Salmon Creek,10152.83
98394,Key Center; Vaughn,10145.33
98144,Seattle,10068.42
98007,Bellevue; Redmond,10024.5
98105,Seattle,9913.92
98290,Bunk Foss; Chain Lake; Everett; Fobes Hill; Lake Bosworth; Lake Roesiger; Machias; Monroe; Monroe North; Snohomish; Three Lakes; Woods Creek,9870.67
98122,Seattle,9854.33
98056,Newcastle; Renton,9830.17
99360,Touchet,9826.17
98940,Ronald,9745.92
98422,Browns Point; Dash Point; Fife Heights; Milton; Tacoma,9734.92
98101,Seattle,9689.75
98011,Bothell; Kenmore; Kirkland; Woodinville,9671.58
98070,Vashon,9639.83
99019,Liberty Lake,9627.25
98314,Bremerton; Navy Yard City; Port Orchard,9555.25
98155,Kenmore; Lake Forest Park; Shoreline,9541.42
99179,Uniontown,9514.92
98629,La Center,9496.33
98671,Camas; Fern Prairie; Washougal,9429.42
98166,Burien; Normandy Park,9293.08
98092,Auburn; Black Diamond; Kent; Lake Holm; Lake Morton-Berrydale; Lake Tapps,9283.0
99353,Richland; West Richland,9279.33
98126,Seattle; White Center,9277.75
98272,Chain Lake; Everett; High Bridge; Monroe; Monroe North; Sultan; Woods Creek,9153.83
98407,Ruston; Tacoma,9151.08
99203,Spokane,9150.0
98443,Waller,9068.75
99005,Green Bluff,9044.33
98258,Cavalero; Lake Cassidy; Lake Stevens; Lochsloy; Machias; Sisco Heights,9039.17
98280,,9006.92
98058,East Renton Highlands; Fairwood; Kent; Maple Heights-Lake Desire; Renton; Shadow Lake,8949.58
98118,Seattle,8872.92
99322,Bickleton,8853.42
98282,Camano,8810.08
98134,Seattle,8802.67
99352,Kennewick; Richland; West Richland,8795.58
98205,Bunk Foss; Cavalero; Everett; Lake Stevens; Machias; Marysville,8787.5
98321,Bonney Lake; Buckley; Enumclaw; Prairie Heights; Prairie Ridge; South Prairie; Wilkeson,8776.67
98068,Roslyn; Snoqualmie Pass; Tanner,8728.42
99131,,8715.83
98675,Amboy; Yacolt,8702.0
98036,Alderwood Manor; Bothell West; Brier; Lynnwood; Martha Lake; Mountlake Terrace; North Lynnwood,8702.0
98208,Eastmont; Everett; Martha Lake; Mill Creek; Silver Firs,8691.17
98370,Indianola; Keyport; Lofall; Poulsbo; Silverdale; Suquamish,8624.83
98388,Ketron Island; Lakewood; Steilacoom; University Place,8583.83
98292,Kayak Point; Lake Goodwin; Lake Ketchum; Marysville; Northwest Stanwood; Silvana; Stanwood; Sunday Lake; Warm Beach,8577.08
98250,Friday Harbor,8556.75
98329,Burley; Key Center; Stansberry Lake; Vaughn; Wauna,8522.83
98327,DuPont; North Fort Lewis,8517.75
98001,Algona; Auburn; Federal Way; Lakeland North; Lakeland South; Milton; Pacific,8504.58
98383,Chico; Silverdale,8488.83
98051,Hobart; Kent; Ravensdale,8481.42
98374,Alderton; Graham; McMillin; Puyallup; South Hill,8438.67
98249,Freeland,8434.92
98346,Hansville; Indianola; Kingston; Port Gamble Tribal Community,8424.75
98223,Arlington; Arlington Heights; Bryant; Canyon Creek; Lake Cassidy; Lake Goodwin; Marysville; North Marysville; Oso; Sisco Heights; Swede Heaven,8414.83
98146,Burien; Seattle; White Center,8410.25
98604,Battle Ground; Cherry Grove; Dollars Corner; Lewisville; Meadow Glade; Venersborg,8401.25
98406,Tacoma,8400.0
98686,Barberton; Mount Vista; Salmon Creek,8370.75
98232,Alger; Edison,8365.67
98516,Lacey; Olympia; Tanglewilde,8355.08
98560,,8301.42
98221,Anacortes,8259.5
98328,Alder; Clear Lake; Eatonville; La Grande,8219.5
98022,Black Diamond; Buckley; Enumclaw; Greenwater,8187.75
98178,Bryn Mawr-Skyway; Renton; Seattle; Tukwila,8180.92
99223,Spokane,8160.0
98031,Kent,8122.08
98946,Thorp,8108.5
98367,Bethel; Bremerton; Burley; Gorst; Port Orchard; Southworth,8102.92
98621,Grays River; Rosburg,8095.33
98303,Anderson Island,8078.08
98236,Clinton,8056.08
98625,Kalama,8048.25
98380,Seabeck,8029.25
98360,Clear Lake; Crocker; Graham; Kapowsin; McMillin; Orting; Prairie Ridge; South Hill,8002.83
98563,Aberdeen; Brady; Cosmopolis; Montesano,7988.83
98338,Clear Lake; Elk Plain; Graham; Kapowsin; South Creek; South Hill,7985.75
98274,Big Lake; Lake Cavanaugh; Lake McMurray; Mount Vernon,7978.5
98821,,7975.67
98125,Seattle,7963.0
98932,Granger,7901.17
98396,Carbonado; Wilkeson,7892.58
98372,Alderton; Edgewood; North Puyallup; Puyallup; Sumner,7846.83
98023,Des Moines; Federal Way,7844.17
98371,Edgewood; Milton; Puyallup; Summit; Waller,7827.75
98651,Hood River,7815.58
99016,Liberty Lake; Spokane Valley,7805.33
98342,Indianola,7795.42
98229,Alger; Bellingham; Geneva; Sudden Valley,7789.75
98271,Lake Goodwin; Marysville; North Marysville; Sisco Heights,7773.0
99154,,7767.42
98925,Easton; Roslyn,7739.42
98375,Frederickson; South Hill; Summit View,7737.33
98055,Kent; Renton,7733.42
97031,Hood River; Odell,7717.67
98502,Olympia; Tumwater,7713.75
99224,Airway Heights; Spokane,7700.33
98467,Fircrest; Steilacoom; Tacoma; University Place,7689.25
98512,Olympia; Tumwater,7681.58
98087,Lake Stickney; Larch Way; Lynnwood; Martha Lake; North Lynnwood; Picnic Point,7657.58
98501,Lacey; Olympia; Tumwater,7650.42
98270,Lake Cassidy; Marysville,7650.08
98373,Clover Creek; Puyallup; South Hill; Summit; Summit View,7643.83
99021,Green Bluff; Mead,7628.08
98252,Canyon Creek; Granite Falls; Lake Bosworth; Lochsloy; Snohomish; Verlot,7616.67
98513,Lacey; Nisqually Indian Community,7611.83
98260,Langley,7595.5
98220,Acme,7587.67
99345,,7578.25
