name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
83824,86000US83824,Idaho; Washington,Benewah; Whitman,De Smet,"41,250","8,252","51,611","14,340","17,212","5,787",0,0,-1,-1,-1,-1,"45,833","8,549",-1,-1,98,27,37,13,6,10,5,0
83851,86000US83851,Idaho; Washington,Benewah; Whitman,Plummer,"43,750","4,122","51,087","5,300","18,923","2,114",0,0,"36,875","11,049","37,500","17,156","46,477","4,092","42,813","9,850",657,158,236,149,59,45,8,2
83870,86000US83870,Idaho; Washington,Benewah; Whitman,Tensed,"32,917","14,186","47,039","10,148","19,527","5,164",0,0,-1,-1,"23,750","1,004","45,250","9,361","21,875","18,892",107,45,23,19,5,15,0,0
97031,86000US97031,Oregon; Washington,Hood River; Skamania,Hood River; Odell,"66,970","5,457","92,612","9,649","36,942","3,846",0,0,"29,537","19,722","76,731","9,174","74,087","13,647","52,784","14,369","7,237",822,"1,771","1,371",945,"1,280",449,599
98001,86000US98001,Washington,King,Algona; Auburn; Federal Way; Lakeland North; Lakeland South; Milton; Pacific,"90,287","7,079","102,055","4,442","34,806","1,738",0,0,-1,-1,"96,378","6,035","103,146","8,055","66,179","2,853","11,247",979,"1,387","2,171","1,700","2,970","1,214",826
98002,86000US98002,Washington,King,Auburn; Kent; Pacific,"57,317","2,210","68,474","3,911","28,278","1,597",0,0,"56,367","18,489","60,730","4,303","61,648","4,062","43,825","5,939","13,475","2,363","3,416","3,081","1,818","1,893",519,385
98003,86000US98003,Washington,King,Des Moines; Federal Way; Lakeland South; Milton,"59,391","2,630","75,321","3,494","29,097","1,502",0,0,"41,851","8,188","61,723","2,684","73,333","12,637","42,402","6,336","18,547","3,359","4,426","4,066","2,265","2,613","1,072",746
98004,86000US98004,Washington,King,Beaux Arts Village; Bellevue; Clyde Hill; Hunts Point; Yarrow Point,"134,580","8,268","197,786","10,372","93,912","5,142",0,0,"55,333","23,465","139,927","8,014","185,335","20,205","97,171","17,402","17,070","1,431","1,347","1,499","1,744","3,324","2,146","5,579"
98005,86000US98005,Washington,King,Bellevue,"120,913","6,793","157,377","9,963","66,330","3,972",0,0,-1,-1,"133,847","10,190","141,250","27,365","72,945","12,466","8,008",833,680,867,936,"1,533","1,218","1,941"
98006,86000US98006,Washington,King,Bellevue; Issaquah; Newcastle,"144,247","9,038","186,548","10,524","66,435","4,001",0,0,-1,-1,"160,221","14,906","160,118","9,054","93,929","24,427","13,337",692,"1,175","1,449","1,210","2,390","2,078","4,343"
98007,86000US98007,Washington,King,Bellevue; Redmond,"96,545","7,389","120,294","7,475","49,529","3,278",0,0,"72,557","38,680","107,975","5,315","100,444","17,924","50,913","7,988","11,859","1,693","1,288","1,599","1,458","2,684","1,204","1,933"
98008,86000US98008,Washington,King,Bellevue; Issaquah; Sammamish,"117,775","8,985","157,380","8,764","57,983","3,235",0,0,-1,-1,"155,875","22,512","150,000","12,643","55,923","2,101","9,278",733,"1,128","1,115","1,020","1,592","1,224","2,466"
