name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
83824,86000US83824,Idaho; Washington,Benewah; Whitman,De Smet,41250,8252,51611,14340,17212,5787,0,0.276,-1,-1,-1,-1,45833,8549,-1,-1,98,27,37,13,6,10,5,0
83851,86000US83851,Idaho; Washington,Benewah; Whitman,Plummer,43750,4122,51087,5300,18923,2114,0.003,0.007,36875,11049,37500,17156,46477,4092,42813,9850,657,158,236,149,59,45,8,2
83870,86000US83870,Idaho; Washington,Benewah; Whitman,Tensed,32917,14186,47039,10148,19527,5164,0,0.257,-1,-1,23750,1004,45250,9361,21875,18892,107,45,23,19,5,15,0,0
97031,86000US97031,Oregon; Washington,Hood River; Skamania,Hood River; Odell,66970,5457,92612,9649,36942,3846,0.083,0.025,29537,19722,76731,9174,74087,13647,52784,14369,7237,822,1771,1371,945,1280,449,599
98001,86000US98001,Washington,King,Algona; Auburn; Federal Way; Lakeland North; Lakeland South; Milton; Pacific,90287,7079,102055,4442,34806,1738,0.073,0.018,-1,-1,96378,6035,103146,8055,66179,2853,11247,979,1387,2171,1700,2970,1214,826
98002,86000US98002,Washington,King,Auburn; Kent; Pacific,57317,2210,68474,3911,28278,1597,0.029,0.011,56367,18489,60730,4303,61648,4062,43825,5939,13475,2363,3416,3081,1818,1893,519,385
98003,86000US98003,Washington,King,Des Moines; Federal Way; Lakeland South; Milton,59391,2630,75321,3494,29097,1502,0.04,0.01,41851,8188,61723,2684,73333,12637,42402,6336,18547,3359,4426,4066,2265,2613,1072,746
98004,86000US98004,Washington,King,Beaux Arts Village; Bellevue; Clyde Hill; Hunts Point; Yarrow Point,134580,8268,197786,10372,93912,5142,0.327,0.023,55333,23465,139927,8014,185335,20205,97171,17402,17070,1431,1347,1499,1744,3324,2146,5579
98005,86000US98005,Washington,King,Bellevue,120913,6793,157377,9963,66330,3972,0.242,0.03,-1,-1,133847,10190,141250,27365,72945,12466,8008,833,680,867,936,1533,1218,1941
98006,86000US98006,Washington,King,Bellevue; Issaquah; Newcastle,144247,9038,186548,10524,66435,4001,0.326,0.021,-1,-1,160221,14906,160118,9054,93929,24427,13337,692,1175,1449,1210,2390,2078,4343
98007,86000US98007,Washington,King,Bellevue; Redmond,96545,7389,120294,7475,49529,3278,0.163,0.026,72557,38680,107975,5315,100444,17924,50913,7988,11859,1693,1288,1599,1458,2684,1204,1933
98008,86000US98008,Washington,King,Bellevue; Issaquah; Sammamish,117775,8985,157380,8764,57983,3235,0.266,0.029,-1,-1,155875,22512,150000,12643,55923,2101,9278,733,1128,1115,1020,1592,1224,2466
98010,86000US98010,Washington,King,Black Diamond; Lake Morton-Berrydale; Maple Valley,123415,17929,135964,14069,52485,5424,0.197,0.055,-1,-1,135298,30683,129938,31868,68375,23403,2135,256,157,208,296,525,273,420
98011,86000US98011,Washington,King,Bothell; Kenmore; Kirkland; Woodinville,98268,6082,116059,3900,46282,1877,0.146,0.02,30647,14088,118766,11087,107238,13695,68125,10284,13304,1196,1707,2179,1649,2917,1707,1949
98012,86000US98012,Washington,Snohomish,Bothell; Bothell East; Bothell West; Clearview; Martha Lake; Mill Creek; Mill Creek East; Silver Firs,109161,4957,127003,4020,46332,1660,0.147,0.015,43323,9719,125252,5894,119701,9329,66430,4603,24246,1544,2673,3156,3517,5644,4145,3567
98014,86000US98014,Washington,King,Ames Lake; Carnation; Lake Marcel-Stillwater,112384,8874,145424,11116,57197,4566,0.233,0.035,-1,-1,146082,9668,118333,10022,74807,9541,2656,136,332,350,294,600,326,618
98019,86000US98019,Washington,King,Cottage Lake; Duvall; Union Hill-Novelty Hill,139831,22569,160507,15671,55588,6293,0.274,0.06,-1,-1,160000,22588,142083,24144,67039,27814,4100,188,271,335,526,839,819,1122
98020,86000US98020,Washington,Snohomish,Edmonds; Esperance; Woodway,95141,6084,129463,7206,57868,3281,0.191,0.026,50875,5542,102254,21791,139605,10440,61389,7387,8602,653,1180,1529,1173,1543,881,1643
